"Env";"Team size";"Step";"Cycle time";"Area";"Distance"
6;4;92;959;97,7;898,4
6;4;89;958;95,2;859,6
6;4;92;950;97,7;898,4
6;4;91;963;95,7;871,7
6;5;91;1065;98,2;881,8
6;5;90;1017;95,2;874,3
6;5;90;1035;95,3;872,8
6;5;91;1037;98;883,2
6;5;90;1044;95,3;872
6;4;92;1026;97,7;898,4
6;4;92;958;97,7;898,4
6;4;92;959;97,7;898,4
6;4;92;942;97,7;898,4
6;4;88;935;95;858,3
6;5;91;1081;98,2;882,9
6;5;91;1037;98,1;883,9
6;5;91;1046;98,1;882,9
6;5;91;1047;98,1;883
6;5;91;1037;98,2;882,9
1;6;115;825;95,1;1087,6
1;6;131;817;95,2;1237,6
1;6;147;804;95;1394,2
1;6;136;810;96,4;1289,9
1;6;136;810;96,4;1287,9
1;6;159;795;96,2;1521,3
1;6;156;790;95,9;1491,3
1;6;158;806;95,1;1506,9
1;6;148;817;95,2;1409,9
1;6;160;807;95,6;1528,1
1;7;137;958;95,5;1298,5
1;7;111;961;95,5;1045,4
1;7;111;897;95,6;1036,9
1;7;137;908;95,6;1300,3
1;7;109;919;95,7;1024,4
1;7;108;827;95,6;1007,5
1;7;106;829;95,2;992
1;7;107;819;95,3;1003,2
1;7;105;815;95;980,6
1;7;106;800;95,1;995,3
1;8;119;953;95,6;1112,6
1;8;133;947;96,2;1245
1;8;113;958;95,1;1056,6
1;8;113;963;95,1;1051,2
1;8;116;973;95,5;1083,4
1;8;116;947;95,1;1078,4
1;8;113;965;95,4;1048,6
1;8;112;974;95;1044,7
1;8;115;987;95,3;1072,7
1;8;123;967;95,5;1153
2;6;152;940;95;1447,2
2;6;144;943;95,2;1361
2;6;136;922;95,6;1311,5
2;6;161;944;98,1;1533,9
2;6;166;921;97,3;1579,8
2;6;135;925;96,1;1276
2;6;161;922;96,6;1529,7
2;6;143;902;98;1356,6
2;6;144;927;95,2;1366,4
2;6;162;887;97,7;1545,4
2;7;153;1071;95,7;1439,7
2;7;136;1081;95,2;1278,9
2;7;136;1066;95,2;1278,2
2;7;154;1042;95,1;1446,8
2;7;135;1044;95;1262,4
2;7;151;1057;95,9;1427
2;7;157;1013;98,5;1491,1
2;7;154;1020;98;1450,4
2;7;157;1023;95,1;1480,1
2;7;135;1068;95;1269,4
2;8;136;1161;97,3;1255,8
2;8;136;1115;97,3;1256,2
2;8;136;1092;97,3;1254,3
2;8;136;18204;97,3;1261,2
2;8;136;1056;97,3;1262,7
2;8;136;1093;97,1;1260
2;8;136;1087;97,3;1259
2;8;136;1081;97,3;1258,8
2;8;136;1080;97,3;1259,5
2;8;136;1058;97,3;1257,5
3;6;94;933;96,3;895,7
3;6;90;908;95,3;857,7
3;6;95;915;95,1;908
3;6;91;915;95,4;867,4
3;6;90;934;95,3;857,3
3;6;92;936;95,3;876,4
3;6;97;954;95,1;924,6
3;6;92;945;95,2;876,6
3;6;94;917;96,1;889,3
3;6;90;976;95;856
3;7;98;1088;95,6;928
3;7;99;1068;96;932,3
3;7;92;1068;95,3;872,7
3;7;99;1054;95,1;940,5
3;7;99;1091;95,7;936,5
3;7;99;1091;95,3;937,4
3;7;98;1064;95,1;932,9
3;7;99;1084;95,9;942,5
3;7;99;1047;95,5;925,7
3;7;98;1081;95,1;932,2
3;8;81;1259;95,2;756,4
3;8;88;1257;95,3;822,7
3;8;81;1216;95,1;752,9
3;8;79;1302;95,2;735
3;8;84;1235;95,2;788,5
3;8;84;1281;95;786,2
3;8;84;1271;95,3;785,5
3;8;81;1269;95,1;754,1
3;8;84;1265;95,2;782,4
3;8;83;1315;95,3;775,4
4;6;69;1645;95,3;621,5
4;6;69;1568;95,3;621,5
4;6;68;1488;95;609,5
4;6;69;1616;95,3;621,5
4;6;69;1692;95,3;621,5
4;6;68;1547;95;609,5
4;6;68;1601;95;609,5
4;6;69;1495;95,3;621,5
4;6;69;1538;95,3;621,5
4;6;68;1469;95;609,5
4;7;51;2112;96,2;433,6
4;7;51;2041;96,3;434,2
4;7;51;2190;96,3;433,6
4;7;51;2301;96,3;434,3
4;7;47;2371;95,5;393,3
4;7;51;2532;96,2;433,1
4;7;51;2989;96,3;434,3
4;7;47;2839;96;393,9
4;7;51;3155;96,3;434,3
4;7;51;3104;96,3;433,5
4;8;55;1916;96;502,5
4;8;55;1749;95,2;501,6
4;8;56;1715;95,3;513,1
4;8;55;1720;96,1;504,2
4;8;54;1790;95,9;493,6
4;8;55;1746;95,9;501,7
4;8;54;1675;95,4;492,3
4;8;55;1648;95,8;501,2
4;8;56;1699;95,5;512,7
4;8;54;1719;95,4;491,9
5;6;164;834;95,1;1605,3
5;6;164;821;95,1;1607,2
5;6;164;819;95;1606,7
5;6;182;837;95;1780,5
5;6;164;842;95,1;1600,1
5;6;164;815;95;1609,3
5;6;164;810;95,1;1606,9
5;6;164;824;95;1609,3
5;6;174;812;95;1703,2
5;6;164;819;95;1602
5;7;135;955;95,5;1319,9
5;7;128;941;95,4;1247,4
5;7;128;923;95,4;1247,2
5;7;128;923;95,4;1247,8
5;7;128;936;95,4;1247,4
5;7;140;966;95;1370
5;7;135;1019;95,5;1319,1
5;7;135;963;95,5;1318,1
5;7;128;978;95,4;1247,2
5;7;128;1185;95,4;1246,7
5;8;135;1208;95,1;1299,4
5;8;171;1220;95,1;1660,2
5;8;159;1409;95;1537
5;8;133;1516;95,1;1282
5;8;158;1367;95,1;1530,4
5;8;132;1237;95,6;1275,1
5;8;161;1225;95,1;1559,9
5;8;133;1199;95,1;1282
5;8;161;1168;95,1;1563,6
5;8;139;1271;95,1;1346,8
6;6;83;1625;95,4;794,1
6;6;84;1352;95,1;804
6;6;90;1350;96,2;860,5
6;6;81;1355;95,2;777
6;6;96;1532;95,2;925,6
6;6;88;1515;95,2;843,5
6;6;92;1701;95,1;882,7
6;6;92;1456;95,2;885,6
6;6;86;1501;95,2;828
6;6;85;1561;95,1;813,3
6;7;80;2015;95,4;755,4
6;7;78;1731;96,2;733,1
6;7;83;1974;95,3;764,8
6;7;84;1985;95,2;789,8
6;7;74;1822;95,4;691,6
6;7;76;1887;95,6;712,6
6;7;77;1826;95,1;726
6;7;78;1852;95,3;733,6
6;7;81;1939;95,4;762,6
6;7;83;2038;95,8;782
6;8;77;2439;96,1;729,4
6;8;74;2400;95,3;697,6
6;8;78;2473;95,3;729,4
6;8;76;2650;95,1;715
6;8;79;3998;95,4;736,7
6;8;81;2628;95,5;743,1
6;8;82;2665;96,3;775,3
6;8;80;2971;95,8;760,1
6;8;83;2932;95,1;785,8
6;8;76;2375;95,3;720
1;9;111;1278;95,1;1029,6
1;9;110;1261;95,7;1026,9
1;9;133;1204;96,2;1252,6
1;9;131;1225;95,6;1240,8
1;9;111;1193;95,3;1035,1
1;9;114;1217;95;1068,2
1;9;114;1203;95;1048,7
1;9;113;1261;95;1046,4
1;9;111;1228;95,6;1040,8
1;9;112;1233;95,1;1043,8
1;10;108;1650;95,1;986,8
1;10;114;1608;95,9;1041,3
1;10;118;1614;95,4;1097,5
1;10;115;1653;95,8;1069
1;10;109;1664;95,3;1008,8
1;10;113;1429;95,8;1035,1
1;10;115;1481;95,3;1060,8
1;10;113;1364;96,2;1049,5
1;10;118;1396;95,4;1098,4
1;10;112;1406;95,7;1031
1;11;102;1523;95,1;907,5
1;11;128;1542;95,5;1158,8
1;11;124;1645;95,2;1114,6
1;11;118;1604;95,1;1070
1;11;113;1541;95,2;1007,7
1;11;122;1627;95,2;1089,2
1;11;117;1861;95,1;1041,5
1;11;102;2116;95,1;915,4
1;11;112;2118;95,7;998,6
1;11;125;2198;95,4;1120,7
2;9;136;2057;97,5;1249,6
2;9;136;2107;97,3;1254,1
2;9;136;1345;97,5;1245,4
2;9;136;1377;97,1;1235,9
2;9;136;1328;97,5;1249,8
2;9;136;1398;97,3;1245,9
2;9;136;1526;97,3;1252,8
2;9;136;1547;97,3;1249,9
2;9;136;1417;97,3;1255,3
2;9;136;1409;97,3;1242,7
2;10;137;1603;95,7;1198,5
2;10;143;1504;95,1;1254,5
2;10;143;1521;95,1;1259,8
2;10;137;1482;95,7;1175,9
2;10;143;1504;95,1;1254,6
2;10;143;1471;95,1;1248,9
2;10;137;1449;95,7;1180,3
2;10;143;1504;95,1;1254,7
2;10;137;1482;95,7;1176,1
2;10;143;1503;95,1;1257,5
2;11;137;1778;95,1;1196,3
2;11;137;1676;95,1;1198,1
2;11;137;1752;95,1;1198
2;11;137;1632;95,1;1198,1
2;11;137;1636;95,1;1194,1
2;11;135;1610;96,4;1251,9
2;11;137;1631;95,1;1197
2;11;137;1620;95,1;1198
2;11;137;1619;95,1;1196,8
2;11;137;1630;95,1;1199,4
3;9;75;1453;95;670,5
3;9;80;1460;95,3;730,5
3;9;78;1412;95,3;714,3
3;9;77;1418;95,3;707,5
3;9;74;1428;95,5;668,7
3;9;68;1502;95,4;608,8
3;9;74;1469;95,4;658,9
3;9;81;1474;96,4;745,4
3;9;79;1698;95,6;722,9
3;9;79;1670;95,8;725,9
3;10;88;2286;95,3;810,2
3;10;90;2447;95,3;826,6
3;10;85;2376;95;773,6
3;10;88;2603;95;801,3
3;10;81;2650;95,3;746,9
3;10;74;2860;95,6;661,7
3;10;72;2855;95,1;644,2
3;10;84;3706;95,8;768,8
3;10;85;4122;95,1;780,9
3;10;74;3689;95;667,4
3;11;79;1713;95,3;717,1
3;11;87;1669;95,1;803,6
3;11;77;1617;95,3;700,4
3;11;79;1656;95,1;714
3;11;76;1587;95,1;690,2
3;11;77;1585;95,8;694,1
3;11;77;1583;95,1;697,8
3;11;80;1609;95,2;727,4
3;11;77;1604;95,8;697,6
3;11;77;1603;95,2;691,9
4;9;58;2231;95,1;532,9
4;9;57;2102;96;523,1
4;9;58;1969;95,3;533,5
4;9;58;2086;95,6;528,5
4;9;58;1920;95,7;533
4;9;58;2032;95,7;530,1
4;9;58;1938;95,2;535,1
4;9;58;1987;95,7;533,2
4;9;58;1960;95,7;532,5
4;9;58;2064;95,1;532,9
4;10;57;2236;96,6;515,4
4;10;51;2457;95,2;462,1
4;10;57;2362;96,6;513,9
4;10;59;2378;98;537,2
4;10;57;2334;96,9;516,6
4;10;59;2319;98;537,8
4;10;57;2435;97,7;515
4;10;57;2401;97,7;515
4;10;57;2327;96,8;516,9
4;10;57;2386;95,4;515,3
4;11;56;2918;95,3;503,3
4;11;58;2809;97,8;523,3
4;11;56;2724;95,6;498,7
4;11;57;2646;95,2;507,5
4;11;52;2975;95,9;462,3
4;11;57;3179;95,6;507,9
4;11;52;2799;95,9;462,8
4;11;51;2917;95,8;453,1
4;11;56;3040;95,6;502,7
4;11;52;3017;95,9;462,6
5;9;163;1476;95,2;1574,3
5;9;143;1292;96,1;1380,2
5;9;146;1269;95,3;1405,4
5;9;138;1278;95,3;1329,6
5;9;155;1395;95;1496,2
5;9;140;1426;95,6;1348,7
5;9;162;1440;95,1;1570,3
5;9;160;1448;95,1;1551,1
5;9;158;1384;95;1528,6
5;9;148;1404;95,2;1429,2
5;10;131;1639;95,1;1253,8
5;10;158;1585;95,1;1520,7
5;10;136;1588;95,1;1296,4
5;10;146;1695;95,2;1393,5
5;10;134;1589;95;1280,1
5;10;128;1551;95,2;1219,7
5;10;131;1529;95,1;1248,6
5;10;136;1593;96,9;1299,1
5;10;128;1568;95,2;1219,7
5;10;159;1605;95;1523,5
5;11;137;1944;95,2;1305,2
5;11;134;1808;95,1;1264,9
5;11;138;1797;95,1;1314,9
5;11;144;1805;95;1369
5;11;146;1709;95,7;1386,2
5;11;156;1610;95,1;1496,3
5;11;146;1569;95,8;1396,5
5;11;138;1583;95,2;1304,7
5;11;121;1542;95,9;1147
5;11;129;1538;97,2;1220,8
6;9;79;1760;95,1;747,7
6;9;79;1706;95;745,4
6;9;78;1730;95,6;735,1
6;9;75;1674;95,5;702,4
6;9;78;1658;96,1;731,6
6;9;81;1725;95,3;761,8
6;9;78;1686;95,1;729,8
6;9;75;1674;95,2;698,7
6;9;75;1672;95,3;707,1
6;9;78;1695;95,9;738
6;10;78;1880;95,1;718,1
6;10;76;1798;96,5;697,7
6;10;73;1827;95,4;666,7
6;10;77;1805;95,3;705,2
6;10;82;1820;95,1;761,1
6;10;82;1781;95,2;757,2
6;10;77;1850;95,5;715,6
6;10;74;1771;95,3;675,6
6;10;73;1807;95,1;670,2
6;10;77;1857;95,9;703,7
6;11;82;2146;95,4;750,7
6;11;74;2245;95,4;672,2
6;11;79;2159;95,9;730,4
6;11;76;2007;95,8;697
6;11;77;1986;95,6;706,8
6;11;80;2025;95,2;736,6
6;11;79;2042;95,3;733,6
6;11;74;1951;95,7;674,1
6;11;82;2010;95,8;754,2
6;11;83;2062;95,4;742
